Replies_subject,relation,Replies_object
user1577,manually switch,back extruders
print bed,using,paper method
my eye,is,lousy
answer1578,modified,stl file for extruder holder
answer1578,'m,very happy
paul i,adapted for,my dial indicator
answer1578,unplug,taz printhead
that,has,neat
that,has,cool
orange heating element,glued to,bottom clear piece ~ 1/8 inch thick glass
pet sheet,has,adhesive on one side
user1580,unbolt,corners
user1580,can apply,new sheet
user1580,peel,pet
user1580,disconnect,wires
pet sheet,does,spectacular job
user1582,open,your
gcode file,is in,text editor
answer1584,got taz4 at_time,earlier month
answer1584,got,taz4
answer1584,also found,error in lulzbot 's support pages
answer1584,wan,share
pid value,were,uncalibrated
printer,stabilize,heated bed 's temperature
lulzbot,come with,optimum pid value in firmware
answer1584,so first send,m304
answer1584,got,following
m304,follow by,m500 assuming
user1584,turn off,computer
heated bed pid values,are,never stored
heated bed pid values,are never stored in,eeprom
one,do,m503 query
answer1584,have,do
version 1.01,be,use
answer1584,also find out according to,support page
answer1584,use,new u8glib libraries
answer1584,use u8glib libraries for,arduino ide
answer1584,was,able
answer1584,just copy u8glin library from,sd card
answer1584,just copy,u8glin library
one,is,2014q2
answer1584,have,put
user1584,use,slic3r
user1584,set bed temperature in,filament setting to certain value
slic3r,will send,embedded g-code
bed,stabilize for,10 secs
user1584,can adjust temp,print
user1584,can adjust,temp
user1584,need,clarification
problem,is at,end of your print
g1 z5 command,is,where given
your object,is,when 42.89 mm high
your object,is high,42.89 mm
answer1586,properly re-assembled,head
answer1586,properly re-assembled head at_time,today
dramatic drop,is in,flow rate
answer1586,would hear,noise
answer1586,would hear noise after,short time through test print
idler,making,it feed
bolt,chewed,small indent
better results,is with,different color filament
answer1586,make,thing
user1586,'re,noob
answer1586,set,tension looser
lulzbot community,getting up,me
lulzbot community,has,so far has big help
community,been,big
answer1586,'m very new at,this
prints,posted,online
prints,posted online from,people
answer1586,'m,very new
answer1586,had,several issues
user1587,can use 12v cartridge with,24v power supply
user1587,can use,12v cartridge
user1587,can use config file on,lulzbot devel site
user1587,adjust,pid settings in your marlin configuration.h file
answer1587,cutting,voltage
thanks,is,here link
answer1587,will consult,someone
user1588,can clean pla,hot
user1588,can clean,pla
user1588,'ll need,remember
user1588,wrap threads with,ptfe pipe thread tape
user1588,disassemble,nozzle per instructions
same stuff,used for,plumbing
user1588,wrap,threads
user1588,disassemble nozzle on,lulzbot site
user1588,get,fan blowing on cooling fins
threads,using,auxiliary fan
answer1590,plugged min with,switch
answer1590,plugged,min
answer1590,plugged min into,power strip
answer1590,plugged,them
answer1590,led light strips on,printer
answer1592,may spin,rev
answer1592,find,time over my vacation
answer1592,find first,fuel
second extruder,interestingly nicks,parts
bed,moving away from,home
answer1595,'m doing,atm
answer1595,'m,happy
answer1595,first off had mentioned,my issues with stock polymer igus linear guides
x carriage,has,has fully upgraded
some,constrains on,bars
my former goal,was,get
answer1595,could get,same
answer1595,wanted,see
max amount,'s with,0.35 mm nozzle
user1595,want,print
plastic,is,then too hot
user1595,need at_time,or
user1595,slow down,maintain
70 mm/s,mm/s for,infils
user1595,will miss plastic with,temp
user1595,will miss plastic at,point
answer1595,now 'll give shot to,identical profile except layer thickness
answer1595,now 'll give,shot
user1595,require,printing speed of 70 mm/s
small distances,travel speed with,500 of accel
answer1595,however cranked up acceleration to,2000
answer1595,however cranked up,acceleration
user1595,get,blobs on sides
head,got,strengthened
z accel,was,double iirc
z accel,was double iirc,cleaner result
z accel,have,nice z hop between layers
answer1595,use,way
answer1595,crank up,bit
answer1595,use,0.25
answer1595,use,min fan
user1595,might need for,small objects
answer1595,multiples of,nozzle diameter
answer1595,'m,tempted
user1595,have,proper amount of plastic applied on your top surfaces
my abs,was,also measured
my abs,also was measured,2.81 mm od
density settings,% of,shrinkage
answer1595,'m closer to,bed
better,'m,closer
cura,has,settings
user1595,use,cura etc.
user1595,think about,that
min endstops g1 z15 .0 f,to z is,travel _ speed
code,is,added
code,is added after,t n
threads,100 at,least
user1596,did use,lulzbot abs profile
might,attach,gcode
user1596,may want to,lower bed temp
user1596,change,layer thickness
user1598,should,should able
user1598,switch between,abs
end,is purged of,old filament
new filament,pull filament from,out extruder
end,is,purged
answer1599,take,look
answer1599,take look,yours compare
part,is,short
answer1599,taking,photo
point,is in,future
negative slack,is in,cable
only,happened to,my own unit
answer1599,'ll do,that
my rambo,is,same
photo,was,taken
photo,was taken of,earlier model
instructions,install,fans
convention,have,dotted fan harness fan1
best,regards,eric
unofficial method,is start at,one corner
user1602,also have tried,different pattern on infill
user1602,could try,perimeter
user1602,are using,lulzbot
user1602,are using,slic3r
user1602,are using,pronterface
last resort,add,ribs
last resort,add ribs to,to shaft
user1602,have,ability do
user1603,take average for,slicer filliament diameter setting
user1603,take,average
user1603,measure,your filliament
user1603,can also further refine,calibration of extruder head itself
user1604,can try abs slurry trick for,lifting
user1604,can try,abs slurry trick
user1604,can also try,printing
user1604,may,may also slightly too high on your first layer
user1604,have adhesion at,first
user1604,have,good adhesion
abs,contract,when it does so
abs,tends,cool
user1604,print in,unconditioned space
user1604,print during,winter
your bed,is,completely level
user1604,made,sure
large cardboard box,works well for,this
user1604,have ran through,calibration gcode file
extruder,latch,springs bit
answer1605,'d try,tightening
pulley set screw,has backed out on,y axis pulley
your y belt,is probably too lose for,much mass
answer1606,'d install,belt tensioner module
settings,are,different
paul,have,a
fact,is,good
fact,is,start
user1608,reached out here to,forum
answer1608,'ve learned,lot
great documentation,helped,me
answer1608,was,even anxious
answer1608,was getting,started
answer1608,followed very carefully,guides
forum,is valuable resource after,formal documentation
forum,is,valuable resource
user1608,learn from,others ' experiences
user1608,consider,alternative fan shroud design
user1608,might want for,example
improved success,is in,printing pla
your taz,additionally is backed by,knowledgeable team at aleph objects
your taz,is,backed
answer1608,still live by,that
answer1608,contact,support for few technical issues
answer1608,immediately setting up,mine
answer1608,was making,nice quality prints
answer1608,was able,i progressed
answer1608,was,able
answer1608,get,tips
answer1608,progressed to,challenges
taz,is,robust
user1608,make,improvements
user1608,make improvements for,your particular needs
piece,has,lot of
print layer height,improving,quality of overhangs
sure,is,on
answer1609,unknowingly had,rear feet
answer1610,know thing of,cause
answer1610,know,thing
one,setting,filament diameter higher
next,is having,nozzle
your e,is,entered at right size
user1611,can set,3d printer nozzle
user1611,added temperatures in,there
both,be spot on,exact
both,be,spot
user1611,chasing,temperature range
nozzle,automatically starts,cool
degree fluctuation,is,pretty much normal
bed,nears,its target temperature
my reccommendation,strip temperatures out of,your slic3r profile entirely
my reccommendation,strip,temperatures
user1611,printing,existing lulzbot bed calibration gcode
user1611,hit,print button
piercet,posting,this
modified,back to,stl file to print
answer1613,can bring,other original cad file
answer1613,reverse,2 clamping screws
answer1613,have,autoleveling hardware
my modification,is,simple
answer1614,had,exactly same symptoms on my new taz4
manual,following,description
nozzle,was at,slight angle
new hot end,is on,anyway order
answer1614,'ll check at_time,time
nozzle installfirst,also apply,high temp antiseize prior to mounting hot end to printer
answer1614,still have,old unusable hotend unit
answer1614,apply,enough force
nozzle,crack as,as original post
answer1614,am,sure
taz3 24v marlin,update with,adjusted power settings for hot end
more information,can,can found here
heater resistor,be,replaced
user1616,identified,cause of your loose hot end
screws,are,tight
answer1617,have had,my taz
answer1617,was,dead set
answer1617,was dead set on,printing abs
my abs prints,currently are fantastic except for,warping
answer1617,have,enclosure
forum help,posting,pictures
extruder,travels,bending
extruder,bending under,weight of extruder
ogreb,email at_time,yesterday
answer1621,will give,try
answer1621,once finish,print
answer1621,have going on,my taz
filament,is in,extruders
user1622,just try,something
answer1623,build,my dual extruder upgrade
curling,is,normal
user1625,need,adjust for
user1625,run bed calibration gcode,starting layer looks
starting layer,looks like,proper bed adhesion
user1625,should take,look
user1625,run,bed calibration gcode
answer1625,see anyways,3.12 mm actual diameter
pressure,cause,filliament
loose shavings,remove,other residue
loose shavings,plastic out of,teeth of hobbed bolt itself
